id,yes,no
"100",4,7
"101",15,8
"102",6,10
"103",34,54
"104",28,7
"105",10,11
"106",4,20
"107",4,6
"108",11,8
"109",6,11
"110",15,11
"111",2,9
"112",3,13
"113",16,14
"114",7,7
"115",43,20
"116",1,4
"118",10,6
"119",6,6
"120",12,28
"121",6,5
"122",6,2
"123",13,5
"124",6,0
"125",6,4
"126",4,4
"127",3,3
"128",3,3
"129",7,10
"130",4,10
"131",7,9
"132",16,16
"133",1,13
"134",3,5
"135",5,3
"136",4,0
"137",8,7
"138",1,10
"139",3,7
"140",1,3
"141",7,6
"142",1,2
"143",1,2
"144",3,3
"145",3,3
"146",5,8
"147",12,3
"148",5,11
"149",3,2
"150",18,31
"151",5,2
"152",78,26
"153",1,4
"154",0,2
"155",9,3
"158",6,3
"159",1,2
"160",3,6
"161",1,3
"162",11,13
"164",1,4
"165",5,7
"166",11,8
"167",7,3
"168",5,2
"169",7,7
"170",5,13
"171",3,2
"172",5,13
"173",4,0
"174",1,0
"175",6,2
"176",9,4
"177",27,16
"178",0,1
"179",0,0
"180",3,2
"181",10,5
"182",12,19
"183",6,5
"184",0,2
"185",4,6
"186",5,3
"187",2,3
"188",5,0
"189",1,2
"190",1,3
"191",0,4
"192",0,1
"193",0,0
"194",4,5
"195",20,18
"196",9,6
"197",1,0
"198",5,10
"199",1,4
"200",0,1
"201",2,0
"202",0,0
"204",1,4
"205",3,3
"206",2,3
"207",2,7
"208",3,7
"209",0,2
"210",1,1
"211",0,0
"212",1,3
"213",4,1
"214",0,1
"215",3,2
"216",2,0
"217",0,0
"218",0,0
"220",1,4
"221",3,8
"222",0,3
"223",3,2
"224",2,1
"225",0,0
"226",2,1
"227",1,2
"228",1,1
"229",3,0
"230",2,0
"231",2,1
"232",3,3
"233",0,0
"234",3,2
"235",0,1
"236",3,1
"237",3,0
"238",1,0
"239",1,5
"240",1,1
"241",1,2
"242",1,3
"243",4,3
"244",1,1
"245",3,9
"247",0,1
"249",0,0
"250",6,1
"251",5,2
"252",2,4
"253",0,0
"254",4,1
"255",2,4
"256",2,0
"257",1,6
"258",1,1
"259",3,3
"260",1,3
"261",3,0
"262",3,1
"263",1,1
"264",0,1
"265",33,41
"266",7,4
"267",2,2
"268",4,0
"269",0,0
"270",2,1
"271",5,1
"272",11,2
"273",1,3
"274",1,0
"275",1,1
"276",2,3
"277",3,0
"278",2,1
"279",2,1
"280",3,3
"281",0,1
"282",0,2
"283",1,2
"285",0,1
"286",2,1
"287",1,0
"288",0,1
"289",5,1
"290",0,3
"291",0,4
"292",0,3
"293",1,0
"294",0,5
"295",0,2
"296",1,2
"297",0,1
"298",3,2
"299",1,1
"300",1,2
"301",2,0
"302",3,2
"303",0,0
"304",2,0
"305",0,2
"306",3,8
"307",9,2
"308",1,0
"309",0,1
"310",0,1
"311",1,0
"312",1,0
"313",0,0
"314",0,0
"315",3,2
"316",3,2
"317",1,1
"318",2,0
"319",1,2
"320",2,4
"321",2,1
"322",1,0
"323",0,4
"324",2,1
"325",0,0
"326",0,1
"327",2,1
"328",1,1
"329",0,0
"330",1,5
"331",3,3
"332",3,5
"333",4,2
"334",1,1
"335",1,0
"336",3,1
"337",0,2
"338",2,0
"340",1,0
"341",0,1
"342",1,0
"343",0,1
"344",3,0
"345",5,1
"346",1,1
"347",1,1
"348",1,1
"350",1,0
"351",0,1
"352",2,4
